section,selector,old-font-family,old-font-size,old-font-weight,old-line-height,token,token-family,token-weight-range,size-mobile-375,size-tablet-900,size-desktop-1440,line-height,text-transform
About page,.about-pile-caption,var(--font-sans),14px,,,Body,Inter Display,400/500,14,14,14,1.5,none
About page,.about-contact-text,var(--font-sans),15px,,1.6,Body,Inter Display,400/500,14,14,14,1.5,none
About page,.about-bio-para,var(--font-landing-body),16px,,1.7,Body-LG,Inter Display,400/500,15,16,16,1.7,none
About page,.about-treasures-sub,var(--font-landing-body),16px,,1.7,Body-LG,Inter Display,400/500,15,16,16,1.7,none
About page,.about-pronunciation,var(--font-sans),12px,,,Body-SM,Inter Display,400/600,12,13,13,1.4,none
About page,.about-clip,,22px,,,Body-SM,Inter Display,400/600,12,13,13,1.4,none
About page,.about-bio-footnote,,13px,,,Body-SM,Inter Display,400/600,12,13,13,1.4,none
About page,.about-treasure-item::after,var(--font-sans),12px,500,,Body-SM,Inter Display,400/600,12,13,13,1.4,none
About page,.about-section-heading,var(--font-landing-heading),"clamp(24px, 3vw, 36px)",400,1.15,H2,Sentient,400/700,20,22,28,1.2,none
About page,.about-eyebrow,var(--font-sans),11px,500,,Label,Inter Display,400/700,11,11,11,1.4,"uppercase, tracking 0.05-0.06em"
Case study card,.case-study-card-description,var(--font-sans),15px,,1.5,Body,Inter Display,400/500,14,14,14,1.5,none
Case study card,.case-study-card-overlay-text,var(--font-sans),13px,500,1.4,Body-SM,Inter Display,400/600,12,13,13,1.4,none
Case study card,.case-study-card-overlay-btn,var(--font-sans),13px,600,,Body-SM,Inter Display,400/600,12,13,13,1.4,none
Case study card,.case-study-card-company,var(--font-landing-body),12px,600,,Body-SM,Inter Display,400/600,12,13,13,1.4,none
Case study card,.case-study-card-tag,var(--font-sans),13px,400,,Body-SM,Inter Display,400/600,12,13,13,1.4,none
Case study card,.case-study-card-index,"var(--font-mono, monospace)",11px,600,,Code,Mono,400/600,11,11,11,1.4,none
Case study card,.play-card-grid .case-study-card-title,var(--font-landing-heading),20px,500,,H3,Sentient,400/700,18,20,20,1.3,none
Case study card,.case-study-card-badge,var(--font-sans),10px,600,,Label,Inter Display,400/700,11,11,11,1.4,"uppercase, tracking 0.05-0.06em"
Case study card,.case-study-card-year,var(--font-sans),9px,500,,Label,Inter Display,400/700,11,11,11,1.4,"uppercase, tracking 0.05-0.06em"
Case study card,.case-study-card-role,var(--font-sans),9px,500,,Label,Inter Display,400/700,11,11,11,1.4,"uppercase, tracking 0.05-0.06em"
Case study card,.case-study-card-year-pill,var(--font-sans),10px,500,,Label,Inter Display,400/700,11,11,11,1.4,"uppercase, tracking 0.05-0.06em"
Case study card,.case-study-card-role-line,var(--font-sans),11px,400,1.4,Label,Inter Display,400/700,11,11,11,1.4,"uppercase, tracking 0.05-0.06em"
